SECTIONS,DAY,TIME,SUBJECT,FACULTY,TYPE
3A,MONDAY,8:30-9:30,DLD,PROF. PRASHANTH J,THEORY
3A,MONDAY,9:30-10:30,DISCRETE MATH,DR. BHARATH GOUDAR,THEORY
3A,MONDAY,11:00-12:00,DATA STRUCTURES,PROF. PATHANJALI,THEORY
3A,MONDAY,12:00-1:00,JAVA,PROF. SHIVARAJ ,THEORY
3A,MONDAY,2:00-3:00,UPSKILL,NA,ACTIVITY
3A,MONDAY,3:00-4:00,UPSKILL,NA,ACTIVITY
3A,TUESDAY,8:30-9:30,DISCRETE MATH,DR. BHARATH GOUDAR,THEORY
3A,TUESDAY,9:30-10:30,DLD,PROF. PRASHANTH J,THEORY
3A,TUESDAY,11:00-12:00,JAVA,PROF. SHIVARAJ ,THEORY
3A,TUESDAY,12:00-1:00,OS,PROF. HARSHA BR,THEORY
3A,TUESDAY,2:00-3:00,SOCIAL CONNECTIVITY,PROF. PRIYANKA HV,ACTIVITY
3A,TUESDAY,3:00-4:00,SOCIAL CONNECTIVITY,PROF. PRIYANKA HV,ACTIVITY
3A,WEDNESDAY,8:30-9:30,OS,PROF. HARSHA BR,THEORY
3A,WEDNESDAY,9:30-10:30,DATA STRUCTURES,PROF. PATHANJALI,THEORY
3A,WEDNESDAY,11:00-12:00,DISCRETE MATH,DR. BHARATH GOUDAR,THEORY
3A,WEDNESDAY,12:00-1:00,DLD,PROF. PRASHANTH J,THEORY
3A,WEDNESDAY,2:00-3:00,JAVA,PROF. SHIVARAJ ,THEORY
3A,WEDNESDAY,3:00-4:00,JAVA-LAB,PROF. SHIVARAJ ,LAB
3A,THURSDAY,8:30-9:30,OS-LAB,PROF. HARSHA BR,LAB
3A,THURSDAY,9:30-10:30,OS-LAB,PROF. HARSHA BR,LAB
3A,THURSDAY,11:00-12:00,PYTHON,PROF. SHARMILA,LAB
3A,THURSDAY,12:00-1:00,PYTHON,PROF. SHARMILA,LAB
3A,THURSDAY,2:00-3:00,DLD-LAB,PROF. PRASHANTH J,LAB
3A,THURSDAY,3:00-4:00,DLD-LAB,PROF. PRASHANTH J,LAB
3A,FRIDAY,8:30-9:30,DATA STRUCTURES,PROF. PATHANJALI,THEORY
3A,FRIDAY,9:30-10:30,OS,PROF. HARSHA BR,THEORY
3A,FRIDAY,11:00-12:00,DS-LAB,PROF. PATHANJALI,LAB
3A,FRIDAY,12:00-1:00,DS-LAB,PROF. PATHANJALI,LAB
3A,FRIDAY,2:00-3:00,PE,PROF. PRAVEEN MANCHALE,ACTIVITY
3A,FRIDAY,3:00-4:00,PE,PROF. PRAVEEN MANCHALE,ACTIVITY
3A,SATURADAY,8:30-9:30,YOGA,PROF. PRAVEEN MANCHALE,ACTIVITY
3A,SATURADAY,9:30-10:30,YOGA,PROF. PRAVEEN MANCHALE,ACTIVITY
3A,SATURADAY,11:00-12:00,NSS,PROF. PRAVEEN MANCHALE,ACTIVITY
3A,SATURADAY,12:00-1:00,NSS,PROF. PRAVEEN MANCHALE,ACTIVITY
3A,SATURADAY,2:00-3:00,LIBERAL ARTS,PROF. PRAVEEN MANCHALE,ACTIVITY
3A,SATURADAY,3:00-4:00,LIBERAL ARTS,PROF. PRAVEEN MANCHALE,ACTIVITY
3B,MONDAY,8:30-9:30,DLD,PROF. ANUSHA UA,THEORY
3B,MONDAY,9:30-10:30,DISCRETE MATH,DR. PRAVEENKUMAR BADIGER,THEORY
3B,MONDAY,11:00-12:00,OS,PROF. HEMANTH CHANDRA N,THEORY
3B,MONDAY,12:00-1:00,DLD,PROF. ANUSHA UA,THEORY
3B,MONDAY,2:00-3:00,SOCIAL CONNECTIVITY,PROF. PRIYANKA HV,ACTIVITY
3B,MONDAY,3:00-4:00,SOCIAL CONNECTIVITY,PROF. PRIYANKA HV,ACTIVITY
3B,TUESDAY,8:30-9:30,OS-LAB,PROF. HEMANTH CHANDRA N,LAB
3B,TUESDAY,9:30-10:30,OS-LAB,PROF. HEMANTH CHANDRA N,LAB
3B,TUESDAY,11:00-12:00,DLD-LAB,PROF. ANUSHA UA,LAB
